DEZE GEGEVENS MOGEN VRIJ WORDEN GEBRUIKT MITS DE VOLGENDE BRONVERMELDING WORDT GEGEVEN:
KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)

THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:
ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE

STN      = stationsnummer/stationnumber
YYYYMMDD = datum/date (YYYY=jaar/year MM=maand/month DD=dag/day)
RD       = 24-uur som van de neerslag in tiende millimeters van 08.00 voorafgaande dag- 08.00 UTC huidige dag/
           daily precipitation amount in 0.1 mm over the period 08.00 preceding day - 08.00 UTC present day
SX       = codecijfer sneeuwdek om 08.00 uur UTC/code for the snow cover at 08.00 UTC:

           codecijfer/code    sneeuwdikte/snow cover
           1                                    1 cm
           ...                                   ...
           996                                996 cm

           997 gebroken sneeuwdek/broken snow cover < 1 cm
           998 gebroken sneeuwdek/broken snow cover >=1 cm
           999 sneeuwhopen/snow dunes

5 spaties betekent een ontbrekende waarde/5 spaces represents a missing value

STN,YYYYMMDD,   RD,   SX,
438,19071004,  136,     ,
438,19071005,    1,     ,
438,19071006,    0,     ,
438,19071007,  111,     ,
438,19071008,   35,     ,
438,19071009,    0,     ,
438,19071010,    0,     ,
438,19071011,    0,     ,
438,19071012,    0,     ,
438,19071013,    0,     ,
438,19071014,   22,     ,
438,19071015,    4,     ,
438,19071016,    1,     ,
438,19071017,    2,     ,
438,19071018,    0,     ,
438,19071019,    0,     ,
438,19071020,    0,     ,
438,19071021,   41,     ,
438,19071022,   41,     ,
438,19071023,    1,     ,
438,19071024,   28,     ,
438,19071025,   72,     ,
438,19071026,    2,     ,
438,19071027,    3,     ,
438,19071028,    7,     ,
438,19071029,    2,     ,
438,19071030,   16,     ,
438,19071031,   32,     ,
438,19071101,    1,     ,
438,19071102,    1,     ,
438,19071103,    0,     ,
438,19071104,    0,     ,
438,19071105,    0,     ,
438,19071106,    0,     ,
438,19071107,    0,     ,
438,19071108,    1,     ,
438,19071109,    2,     ,
438,19071110,    1,     ,
438,19071111,    1,     ,
438,19071112,    2,     ,
438,19071113,  128,     ,
438,19071114,   59,     ,
438,19071115,   10,     ,
438,19071116,   30,     ,
438,19071117,    0,     ,
438,19071118,    8,     ,
438,19071119,    0,     ,
438,19071120,    0,     ,
438,19071121,   23,     ,
438,19071122,    2,     ,
438,19071123,    0,     ,
438,19071124,   11,     ,
438,19071125,   36,     ,
438,19071126,   55,     ,
438,19071127,  113,     ,
438,19071128,    0,     ,
438,19071129,    2,     ,
438,19071130,    1,     ,
438,19071201,    0,     ,
438,19071202,    0,     ,
438,19071203,    1,     ,
438,19071204,   24,     ,
438,19071205,   34,     ,
438,19071206,   48,     ,
438,19071207,    1,     ,
438,19071208,   66,     ,
438,19071209,   38,     ,
438,19071210,   45,     ,
438,19071211,   36,     ,
438,19071212,    0,     ,
438,19071213,    9,     ,
438,19071214,  136,     ,
438,19071215,   63,     ,
438,19071216,    1,     ,
438,19071217,    1,     ,
438,19071218,    0,     ,
438,19071219,   30,     ,
438,19071220,   14,     ,
438,19071221,    3,     ,
438,19071222,   11,     ,
438,19071223,    0,     ,
438,19071224,  131,     ,
438,19071225,    3,     ,
438,19071226,    0,     ,
438,19071227,    0,     ,
438,19071228,    0,     ,
